r_last_halav,mispar_par_mazria,r_last_somatim,r_sug_last_hazraa,ri_hafsakat_hazraa,r_trc_hamlata_zfuy,ri_holevet,ri_hara,r_tahluva,c_status_bakar,c_shluha,c_kvuza,r_teur_kvuza,r_trc_yezia,c_knisa,c_geza,mispar_av_em,c_min,r_shem,c_zeva,r_otomati,r_kvia,r_ozen,c_par,mispar_par,k_zhy_unique,k_zhy_movil,c_em_unique,r_memuza_halav_yomi,r_memuza_halivot,r_ag_kg_halav,r_ag_kg_shuman,r_ag_kg_helbon,r_ag_ahuz_shuman,r_ag_ahuz_helbon,r_ag_ahuz_rts,r_ag_kg_hamam,r_calc_tpi,r_reglaim,ag_kg_halav_m,ag_kg_shuman_m,ag_kg_helbon_m,ag_ahuz_shuman_m,ag_ahuz_helbon_m,ag_ahuz_rts_m,ag_kg_hamam_m,r_calc_tpi_m,r_atin_klali_m,r_reglaim_m,ag_kg_halav_f,ag_kg_shuman_f,ag_kg_helbon_f,ag_ahuz_shuman_f,ag_ahuz_helbon_f,ag_ahuz_rts_f,ag_kg_hamam_f,r_calc_tpi_f,r_atin_klali_f,r_reglaim_f,comp_ag_brd_frt_f,r_horasha_tmotat_vladot,r_horasha_hamlata_k,r_atin_klali,r_trc_lida,c_ofen_yezia,c_siba,r_mishkal,r_mehir_kg,r_mehir_bakar,c_lakoah,r_trc_hatchala,r_trc_ybush,r_bikoret_ahron,r_bikoret,chalav_miz,azraa_aharon,suman_miz,chelbon_miz,lkaktuz_miz,chalav_metukan,suman_metukan,helbon_metukan,comp_se_em,comp_shem_em,comp_yamim_batchluva,comp_yemey_herayon,comp_shem_kone,comp_meshek_kodem,comp_yamim_mehazraa,comp_yamim_lehamlata,comp_yamim_leyebush,comp_mishkal_knisa,comp_mishkal_gmila,,comp_mishkal_leyom,comp_yamim_beyebush,comp_date_tzyun_hamlata,comp_derug_hamlata,comp_date_tzyun_chalav,comp_derug_si_halav,comp_date_tzyun_yoves,comp_derug_yovesh,comp_date_tzyun_emza_yoves,comp_derug_emza,comp_halav_yomi,comp_hamam_yomi,comp_srak,comp_rik,comp_menucha,comp_somatim_1,chamam_mitztaber,hefres_eder,halivot_aharon,chamam_bikoret_achrona,comp_date_drisha,comp_date_hapala,hmm_mtukan,copm_hmm_mtukan_befor,copm_helbon_mtukan_befor,copm_halav_mtukan_befor,copm_shuman_mtukan_befor,copm_ymei_heryon_befor,r_match_par_1,shem_mazriaa,comp_gova,comp_halav_p,comp_shuman_p,comp_hamam_p,comp_helbon_p,comp_match_par,r_hmm_muarah,comp_gil_bechodashim,comp_hmm_mtukan,c_pitum,date_comp_yamim_leyebush,comp_ashnot,shaa_mazriaa,comp_shuman_bikoert,comp_helbun_bikoert,comp_sapak,comp_avg_helbon_all_life,r_trc_hafraia,comp_tnuvat_haim,comp_trc_gova,comp_yebush_befor,r_ind_suman_leyezia,comp_avg_shuman_all_life,r_heara,comp_av_hhav,comp_trc_halav_yomi,comp_hamlata_haharon,comp_shuman_per_helbun_bikoert,comp_last_halav1,comp_null_integer,comp_mishkal,comp_date_mishkal,r_trc_knisa,r_trc_last_knisa,comp_shehut_kvuza,comp_null_dec,comp_eder_kodem,comp_month_lida,skila1,skila2,skila3,skila4,skila5,skila6,skila7,skila8,tami_skila1,tami_skila2,tami_skila3,tami_skila4,tami_skila5,tami_skila6,tami_skila7,tami_skila8,trc_skila1,trc_skila2,trc_skila3,trc_skila4,trc_skila5,trc_skila6,trc_skila7,trc_skila8,comp_peak,comp_peak_yamim,comp_mehir_knia,comp_yamim_hlv_kodem,comp_trc_avhana,comp_avhana,ext_sort_selected,comp_trc_hisun,comp_hisun,comp_ozen_old,ext_gil_hamlata1,ext_hatmada_h,ext_hatmada_p,comp_par_harbaa,comp_trc_par_harbaa,comp_erch_colostrum_1,comp_erch_colostrum_2,comp_erch_refractometers,comp_bne_bakar_remarks
,,,,0,,1,0,2,0,3,93,חולבות*,17/09/2003,1,1,3689,2,,,,995,,3304,3304,2,995,259697081,16.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/08/2000,4,60,,,,1,25/08/2003,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,36.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,25/08/2003,,,,480,10/04/2002,,,,,,01/08/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
26,,127,,1,,1,0,4,0,3,1,חולבות,21/11/2006,1,1,3274,2,,,,996,,3595,3595,4,996,192697081,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/2000,4,62,,,,1,01/03/2006,,20/11/2006,9,10540,0,401.6,333.8,0,11055.6,427.5,357,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,10655,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11702,74.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,01/03/2006,,,,512,10/04/2002,,,,,,01/08/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
28.1,5578,174,2,1,,1,0,6,0,3,1,חולבות,25/03/2008,1,1,3168,2,,,,997,,3595,3595,5,997,123697081,17.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/08/2000,4,60,,,,1,19/09/2007,,25/02/2008,5,6793.6,2,248.7,196.3,0,9941.3,367.3,295.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6443,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9712,90.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,19/09/2007,,,,568,10/04/2002,,,,,,01/08/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
30.4,,50,,0,,1,0,2,0,3,93,חולבות*,02/12/2003,1,1,3274,2,,,,998,,3607,3607,6,998,261697081,18.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/09/2000,4,61,,,,1,20/08/2003,,19/11/2003,4,3363.4,0,109.8,108.2,0,9359.2,304.3,301.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3257,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8824,38.9,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,20/08/2003,,,,504,10/04/2002,,,,,,01/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
33.5,,84,,1,,1,0,3,0,3,93,חולבות*,02/01/2005,1,1,5180,2,,,,999,,3852,3852,9,999,164697081,22.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/2000,4,61,,,,1,07/09/2004,,21/12/2004,4,4270.2,0,145,136.1,0,9946.8,332.6,321.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4166,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9599,51.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,07/09/2004,,,,512,10/04/2002,,,,,,01/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
27.3,7060,45,2,0,,1,0,1,0,3,94,מבכירות*,31/03/2003,1,1,3168,2,,,,1000,,3853,3853,11,1000,88697081,14.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/09/2000,4,99,,,,1,12/07/2002,,23/03/2003,9,6614,3,241.9,230.7,0,9624,348.1,324.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6962,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8196,30.5,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,12/07/2002,,,,480,10/04/2002,,,,,,01/09/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
33,,3693,,1,,1,0,6,0,3,1,חולבות,13/12/2009,1,1,3258,2,,,,1038,,3661,3661,93,1038,283697081,18.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/03/2001,4,60,,,,1,03/05/2009,,23/11/2009,5,7928.3,0,265,258.1,0,10346.2,360.1,345.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,7789,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10350,105.2,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,03/05/2009,,,,578,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,3795,,2,0,10/04/2003,0,1,0,0,2,92,עגלות*,24/03/2003,1,,3089,2,,,,1039,,,,95,1039,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/03/2001,4,99,,,,1,05/03/2001,,,0,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.6,,0,,,00:00,,,,,08/07/2002,,13/05/2015,,0,,,,13/05/2015,,,,,466,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,09/03/2001,1,1,3241,2,,,,,,3859,3859,97,-98,125697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2001,4,81,,,,0,09/03/2001,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0,,0,,,00:00,,,,,,,13/05/2015,,0,,תאומה לזכר -לא להזרעה,,13/05/2015,,,,,,,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
36.6,,627,,1,,1,0,2,0,3,93,חולבות*,14/12/2004,1,1,3376,2,,,,1040,,3652,3652,98,1040,276697081,14.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2001,4,30,,,,1,23/08/2004,,21/11/2004,3,4560,0,165.8,139.2,0,10619.2,362.9,335.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4444,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10323,45,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,23/08/2004,,,,540,22/11/2002,,,,,,01/03/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
