last milk,AI bull no ISR,last SCC,AI type,not for AI,exp. Calving,at milk,preg,lact no,status,barach,group,group name,cull date,enter way,breed,MGS,sex,cow name,tag color,no.tag plasic,no tag ,burn no,government no,sire,se number,computer no,cow no,computer mom,avg milk last 10 days,avg milkig time in last 10 days,brd milk kg,brd fat kg,brd prot kg,brd fat pre,brd prot pre,brd SCC,brd ECM,udder,ati,legs,brd milk mom,brd fat kg mom,brd prot mom,brd fat pre mom,brd prot pre mom,brd SCC mom,brd ecm mom,brd tpi mom,brd udder mom,brd legs mom,brd milk sire,brd fat kg sire,brd prot kg sire,brd fat pre sire,brd prot pre sire,brd SCC sire,brd ecm sire,brd tpi sire,brd udder sire,brd legs sire,brd dau fertilty,brd still birth,brd calvig easy,birth date,exit way,exit erson,exiy weight,price per kg,exit price,bayer,calving date,dry date,last dhi date,no dhi ater calving,pl milk kg,last AI date,pl Fat kg,pl prot kg,pl kaktuz_miz,adjust milk kg,adjust fat kg,adjust prot kg,mom se,mom name,DMI,days in preg,bayer name,byaer farm nmae,days after AI,days till next calving,days till dry,enter whight,wining wheight,growth rate,growth rate total,days after dry,BCS date after calvig ,total wight,BCS pick milk date,BCS pick milk,BCS dry date,BCS dry,BCS half dry date,BCS half dry,avg milk,avg ecm,wested days AI,open days,rest days,SCC calc1,ECM total at lact,ecm according the heard,no of milking by day,last DHI date,last heating date,last abortion,adjust ecm,edjust ecm prev lact,adjust prot kg prev lact,adjust milk prev lact,adjust fat kg prev lact,DIM prev lact,mate 1,inseminator name,highet,exp milk kg 305,exp fat kg 305,exp ecm 305,exp prot kg ,match bull,exp exm 305 ?,age by month,adjust ecm,feed lot,days till dry,rep,AI time,fat pre DHI,prot pre DHI,supply,pl prot pre,efect preg date,pl milk,highet date,last calving days in dry,for cull,pl fat pre,preg,PGS,date molk day,last calvig date,fat/prot,last milk1,?,last whight,last wheight date,enter date,enter last date,days in last group,?,last se,birth month,whight1,whight2,whight3,whight4,whight5,whight6,whight7,whight8,whight rate 1,whight rate 2,whight rate 3,whight rate 4,whight rate 5,whight rate 6,whight rate 7,whight rate 8,whight date 1,whight date 2,whight date 3,whight date 4,whight date 5,whight date 6,whight date 7,whight date 8,date pick milk,kg at pick,bying price,?,last vet ,last vet diagnosis,sorting,vac date ,vac drug,last gov no,age in 1 lact,persistence 1,persistence 1,no live bull,live bulld fate,colestrom value1,colestrom value2,refractometers value,remark,last AI date
58.9,,149,,0,,1,0,3,0,3,93,חולבות*,11/06/2005,1,1,3274,2,,,,,1011,,3879,1011,31,1011,220697081,0.5,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,23/10/2000,3,30,,,,1,03/03/2005,,17/05/2005,3,5327,0,197.3,170.4,0,13029.9,422.8,408.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5361,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12832,55.5,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,03/03/2005,,,,443,10/04/2002,,,,,,23/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,1,0,3,0,3,93,חולבות*,03/05/2005,1,1,3241,2,,,,,1012,,3089,1012,32,1012,109697081,11.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2000,4,71,,,,1,01/05/2005,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,54.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,01/05/2005,,,,420,10/04/2002,,,,,,27/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
62.1,,37,,0,,1,0,4,0,3,1,חולבות,09/04/2006,1,1,66666,2,,,,,1013,,3586,1013,33,1013,270697081,30.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2000,4,60,,,,1,18/01/2006,,20/03/2006,3,4543,0,178.1,149,0,13043.4,421.7,415.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4729,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,13107,65.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,18/01/2006,,,,512,10/04/2002,,,,,,27/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,1,0,1,0,3,94,מבכירות*,21/10/2002,1,1,3274,2,,,,,1014,,3586,1014,35,1014,272697081,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2000,4,99,,,,0,19/10/2002,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,23.6,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,19/10/2002,,,,447,10/04/2002,,,,,,01/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
22.7,7060,477,2,1,,1,0,4,0,3,1,חולבות,09/02/2007,1,1,3274,2,,,,,1015,,3376,1015,40,1015,268697081,14.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/11/2000,4,60,,,,1,07/01/2006,,29/01/2007,13,14363.9,1,537.3,445.6,0,11920.9,446.6,364.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,14264,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12095,74.9,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,07/01/2006,,,,504,10/04/2002,,,,,,09/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,05/06/2006
40.8,,797,,0,,1,0,3,0,3,93,חולבות*,19/12/2004,1,1,5190,2,,,,,1016,,3304,1016,43,1016,265697081,14.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/2000,4,63,,,,1,07/11/2004,,21/11/2004,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,49.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,07/11/2004,,,,512,10/04/2002,,,,,,12/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,19/11/2000,1,1,3661,2,,,,,1017,,3586,1017,44,1017,228697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/11/2000,3,15,,,,0,14/11/2000,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,,,,,,,,14/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
36.6,3711,3994,2,1,,1,0,3,0,3,93,חולבות*,23/12/2005,1,1,3274,2,,,,,1023,,3630,1023,50,1023,278697081,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/12/2000,4,68,,,,1,20/06/2005,,22/12/2005,6,8012.7,2,268.8,249.5,0,11926,397.3,385.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,7683,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11896,60.4,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,20/06/2005,,,,721,22/11/2002,,,,,,07/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,03/10/2005
29,3947,147,2,0,,1,0,1,0,3,94,מבכירות*,26/12/2001,60,,,2,,,,,9718,,3304,9718,52,9718,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/1998,4,24,,,,0,04/01/2001,,08/12/2001,12,11096.6,6,356.5,334,0,11646.9,356.5,329.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,10290,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9158,37,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,04/01/2001,,,,,,07/12/2000,,,,,22/11/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,05/10/2001
,,,,0,,1,0,1,0,3,94,מבכירות*,03/02/2001,60,1,3208,2,,,,,9717,,3376,9717,53,9717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/1998,3,11,,,,0,02/02/2001,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,26.7,,0,,,00:00,,,,,,,04/12/2014,,0,,  ,,04/12/2014,02/02/2001,,,,,,07/12/2000,,,,,12/11/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
